ID,TITLE,URL
1,"A machine learning approach for classification of accretion states of black hole binaries
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.1334S
2,"Ultraviolet Imaging Telescope (UVIT) observation of the Galactic globular cluster NGC 7492
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.502..313K
3,"AstroSat view of IGR J17091-3624 and GRS 1915 + 105: decoding the 'pulse' in the 'Heartbeat State'
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.6123K
4,"Broad-band 'spectro-temporal' features of extragalactic black hole binaries LMC X-1 and LMC X-3: an AstroSat perspective
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.5457B
5,"Thermonuclear X-ray bursts detected in Cyg X-2 using AstroSat/LAXPC
",https://ui.adsabs.harvard.edu/abs/2021NewA...8301479D
6,"UVIT-HST-Gaia-VISTA study of KRON 3 in the Small Magellanic Cloud: A cluster with an extended red clump in UV
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..441N
7,"Study of UV-bright stellar populations in the globular cluster NGC 1261 using Astrosat
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.2140R
8,"The First Extensive Exploration of UV-bright Stars in the Globular Cluster NGC 2808
",https://ui.adsabs.harvard.edu/abs/2021ApJ...908...66P
9,"A Virgo Environmental Survey Tracing Ionised Gas Emission (VESTIGE). IX. The effects of ram pressure stripping down to the scale of individual HII regions in the dwarf galaxy IC 3476
",https://ui.adsabs.harvard.edu/abs/2021A&A...646A.139B
10,"UOCS. III. UVIT catalogue of open clusters with machine learning based membership using Gaia EDR3 astrometry
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..246J
11,"AstroSat soft X-ray observations of the symbiotic recurrent nova V3890 Sgr during its 2019 outburst
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.501...36S
12,"UV spectroscopy confirms SU Lyn to be a symbiotic star
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.500L..12K
13,"A multiwavelength study of the dual nuclei in Mrk 212
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.3908R
14,"Multiwavelength study of different flaring and low-activity states of blazar 4C+21.35
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.1127B
15,"AstroSat observations of the first Galactic ULX pulsar Swift J0243.6+6124
",https://ui.adsabs.harvard.edu/abs/2021MNRAS.500..565B
16,"Crust structure and thermal evolution of neutron stars in soft X-ray transients
",https://ui.adsabs.harvard.edu/abs/2021A&A...645A.102P
17,"AstroSat view of GRS 1915+105 during the soft state: detection of HFQPOs and estimation of mass and spin
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5891S
18,"Coronal vertical structure variations in normal branch of GX 17+2: AstroSat's SXT and LAXPC perspective
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.2214M
19,"UVIT/AstroSat studies of blue straggler stars and post-mass transfer systems in star clusters: detection of one more blue lurker in M67
",https://ui.adsabs.harvard.edu/abs/2020JApA...41...45S
20,"The horizontal branch morphology of the globular cluster NGC 1261 using AstroSat
",https://ui.adsabs.harvard.edu/abs/2020JApA...41...35R
21,"Observations with the 3.6-meter Devasthal optical telescope
",https://ui.adsabs.harvard.edu/abs/2020JApA...41...33S
22,"A spectral study of the black hole X-ray binary MAXI J1820+070 with AstroSat and NuSTAR
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.5873C
23,"Revisiting the spectral and timing properties of 4U 1909+07 with NuSTAR and Astrosat
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4830J
24,"Estimation of the black hole spin in LMC X-1 using AstroSat
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4404M
25,"Proxima Centauri - the nearest planet host observed simultaneously with AstroSat, Chandra, and HST
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.3658L
26,"Identifying the radiative components responsible for quasi-periodic oscillations of black hole systems
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2757G
27,"AstroSat observation of the Be/X-ray binary Pulsar 3A 0726-260 (4U 0728-25)
",https://ui.adsabs.harvard.edu/abs/2020RAA....20..155R
28,"AstroSat view of LMC X-2: evolution of broad-band X-ray spectral properties along a complete Z-track
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.3726A
29,"AstroSat and MAXI view of the black hole binary 4U 1630-472 during 2016 and 2018 outbursts
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1197B
30,"Time evolution of cyclotron line of Her X-1: a detailed statistical analysis including new AstroSat data
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1029B
31,"AstroSat UVIT Detections of Chandra X-Ray Sources in M31
",https://ui.adsabs.harvard.edu/abs/2020ApJS..250...23L
32,"An underlying clock in the extreme flip-flop state transitions of the black hole transient Swift J1658.2-4242
",https://ui.adsabs.harvard.edu/abs/2020A&A...641A.101B
33,"Study of recent outburst in the Be/X-ray binary RX J0209.6-7427 with AstroSat: a new ultraluminous X-ray pulsar in the Magellanic Bridge?
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.2664C
34,"AstroSat Observations of GRO J2058+42 during the 2019 Outburst
",https://ui.adsabs.harvard.edu/abs/2020ApJ...897...73M
35,"Blazar Variability: A Study of Nonstationarity and the Flux-Rms Relation
",https://ui.adsabs.harvard.edu/abs/2020ApJ...897...25B
36,"Detection of thermonuclear X-ray bursts and dips from the X-ray binary 4U 1323-62 with AstroSat/LAXPC
",https://ui.adsabs.harvard.edu/abs/2020RAA....20...98B
37,"Isolation, nucleotide sequencing and genomic comparison of a Novel SXT/R391 ICE mobile genetic element isolated from a municipal wastewater environment
",https://ui.adsabs.harvard.edu/abs/2020NatSR..10.8716S
38,"Spectropolarimetric analysis of prompt emission of GRB 160325A: jet with evolving environment of internal shocks
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.5218S
39,"Possible detection of a new cyclotron feature in 4U 1700-37
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.3045B
40,"AstroSat UVIT Survey of M31: Point-source Catalog
",https://ui.adsabs.harvard.edu/abs/2020ApJS..247...47L
41,"Additional Calibration of the Ultraviolet Imaging Telescope on Board AstroSat
",https://ui.adsabs.harvard.edu/abs/2020AJ....159..158T
42,"A broad-band look of the accreting millisecond X-ray pulsar SAX J1748.9-2021 using AstroSat and XMM-Newton
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.4361S
43,"Correction to: AstroSat/LAXPC view of GX 17+2: spectral evolution along the Z-track
",https://ui.adsabs.harvard.edu/abs/2020Ap&SS.365...56A
44,"Unravelling the unusually curved X-ray spectrum of RGB J0710 + 591 using AstroSat observations
",https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..796G
45,"Identification of QPO Frequency of GRS 1915+105 as the Relativistic Dynamic Frequency of a Truncated Accretion Disk
",https://ui.adsabs.harvard.edu/abs/2020ApJ...889L..36M
46,"AstroSat UVIT Observations of Her X-1
",https://ui.adsabs.harvard.edu/abs/2020ApJ...889..131L
47,"AstroSat/LAXPC view of GX 17+2: spectral evolution along the Z-track
",https://ui.adsabs.harvard.edu/abs/2020Ap&SS.365...41A
48,"AstroSat detection of Lyman continuum emission from a z = 1.42 galaxy
",https://ui.adsabs.harvard.edu/abs/2020NatAs...4.1185S
49,"Unveiling the Temporal Properties of MAXI J1820+070 through AstroSat Observations
",https://ui.adsabs.harvard.edu/abs/2020ApJ...889L..17M
50,"Prompt X-Ray Emission from Fast Radio Bursts—Upper Limits with AstroSat
",https://ui.adsabs.harvard.edu/abs/2020ApJ...888...40A
51,"Solar Cycle Variation of Coronal Temperature, Emission Measure, and Soft X-Ray Irradiance Observed with Yohkoh Soft X-Ray Telescope
",https://ui.adsabs.harvard.edu/abs/2019ApJ...887..225T
52,"GASP XXIII: A Jellyfish Galaxy as an Astrophysical Laboratory of the Baryonic Cycle
",https://ui.adsabs.harvard.edu/abs/2019ApJ...887..155P
53,"Spectral and Timing Properties of the Galactic X-Ray Transient Swift J1658.2-4242 Using Astrosat Observations
",https://ui.adsabs.harvard.edu/abs/2019ApJ...887..101J
54,"Timing analysis of Swift J1658.2-4242's outburst in 2018 with Insight-HXMT, NICER and AstroSat
",https://ui.adsabs.harvard.edu/abs/2019JHEAp..24...30X
55,"UVIT Open Cluster Study. II. Detection of Extremely Low Mass White Dwarfs and Post-Mass Transfer Binaries in M67
",https://ui.adsabs.harvard.edu/abs/2019ApJ...886...13J
56,"Journey through the birth, growth and maturity of X-ray astronomy
",https://ui.adsabs.harvard.edu/abs/2019RAA....19..138A
57,"A variable-frequency HFQPO in GRS 1915+105 as observed with AstroSat
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.1037B
58,"DustKING - the story continues: dust attenuation in NGC628
",https://ui.adsabs.harvard.edu/abs/2019BSRSL..88..307D
59,"Three years of AstroSat: Indian Astronomy mission
",https://ui.adsabs.harvard.edu/abs/2019BSRSL..88..190V
60,"Short-term variabilities in X-ray/Optical/UV emission from Seyfert 1 galaxy NGC 4593
",https://ui.adsabs.harvard.edu/abs/2019BSRSL..88..143N
61,"On the requirement for a high resolution spectrograph to investigate the multiplicity of massive stars with the 3.6-m Devasthal Optical Telescope
",https://ui.adsabs.harvard.edu/abs/2019BSRSL..88..128D
62,"Prompt Emission Polarimetry of Gamma-Ray Bursts with the AstroSat CZT Imager
",https://ui.adsabs.harvard.edu/abs/2019ApJ...884..123C
63,"Spectro-timing analysis of MAXI J1535-571 using AstroSat
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..720B
64,"Activity of the Red Dwarf FR Cnc from Observations with a Robotic IRT-20 Telescope at the Zvenigorod Observatory of INASAN
",https://ui.adsabs.harvard.edu/abs/2019AstL...45..602S
65,"Time-varying Polarized Gamma-Rays from GRB 160821A: Evidence for Ordered Magnetic Fields
",https://ui.adsabs.harvard.edu/abs/2019ApJ...882L..10S
66,"UVIT Open Cluster Study. I. Detection of a White Dwarf Companion to a Blue Straggler in M67: Evidence of Formation through Mass Transfer
",https://ui.adsabs.harvard.edu/abs/2019ApJ...882...43S
67,"Thermal evolution and quiescent emission of transiently accreting neutron stars
",https://ui.adsabs.harvard.edu/abs/2019A&A...629A..88P
68,"AstroSat observation of GX 5-1: spectral and timing evolution
",https://ui.adsabs.harvard.edu/abs/2019RAA....19..114B
69,"Broad-band reflection spectroscopy of MAXI J1535-571 using AstroSat: estimation of black hole mass and spin
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.4221S
70,"AstroSat view of MAXI J1535-571: broad-band spectro-temporal features
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.487..928S
71,"Pulse Phase Variation of the Cyclotron Line in HMXB 4U 1907+09 with AstroSat LAXPC
",https://ui.adsabs.harvard.edu/abs/2019ApJ...880...61V
72,"Soft x-ray tomographic reconstruction of Heliotron J plasma for the study of magnetohydrodynamic equilibrium and stability
",https://ui.adsabs.harvard.edu/abs/2019PlST...21f5102P
73,"Microlensing of x-ray pulsars: A method to detect primordial black hole dark matter
",https://ui.adsabs.harvard.edu/abs/2019PhRvD..99l3019B
74,"A stochastic propagation model to the energy dependent rapid temporal behaviour of Cygnus X-1 as observed by AstroSat in the hard state
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2964M
75,"ICE SXT vs. ICESh95: Co-existence of Integrative and Conjugative Elements and Competition for a New Host
",https://ui.adsabs.harvard.edu/abs/2019NatSR...9.8045P
76,"Systemic inflammation is associated with malaria and preterm birth in women living with HIV on antiretrovirals and co-trimoxazole
",https://ui.adsabs.harvard.edu/abs/2019NatSR...9.6758M
77,"Investigation of the globular cluster NGC 2808 with the Ultra-Violet Imaging Telescope
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.2877J
78,"Detection of a White Dwarf Companion to a Blue Straggler Star in the Outskirts of Globular Cluster NGC 5466 with the Ultraviolet Imaging Telescope (UVIT)
",https://ui.adsabs.harvard.edu/abs/2019ApJ...876...34S
79,"Antimicrobial agent susceptibilities of Legionella pneumophila MLVA-8 genotypes
",https://ui.adsabs.harvard.edu/abs/2019NatSR...9.6138S
80,"Probing the Cyclotron line characteristics of 4U 1538-522 using AstroSat-LAXPC
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.484L...1V
81,"AstroSat-CZTI Detection of Variable Prompt Emission Polarization in GRB 171010A
",https://ui.adsabs.harvard.edu/abs/2019ApJ...874...70C
82,"Thermonuclear X-ray bursts in rapid succession in 4U 1636-536 with AstroSat-LAXPC
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.4397B
83,"LAXPC/AstroSat Study of ∼1 and ∼2 mHz Quasi-periodic Oscillations in the Be/X-Ray Binary 4U 0115+63 during Its 2015 Outburst
",https://ui.adsabs.harvard.edu/abs/2019ApJ...872...33R
84,"The Period Change of Cyg X-3
",https://ui.adsabs.harvard.edu/abs/2019ApJ...871..244A
85,"AstroSat SXT Observations of Her X-1
",https://ui.adsabs.harvard.edu/abs/2019ApJ...871..152L
86,"Multi-Wavelength Observations of a Large Solar Flare
",https://ui.adsabs.harvard.edu/abs/2019OAP....32..114C
87,"UVIT-HST-GAIA view of NGC 288: a census of the hot stellar population and its properties from UV
",https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1080S
88,"Study of Timing Evolution from Nonvariable to Structured Large-amplitude Variability Transition in GRS 1915 + 105 Using AstroSat
",https://ui.adsabs.harvard.edu/abs/2019ApJ...870....4R
